sku,productName,model,brand,category,productType,variant,color,capacityMl,material,straw,countryOfOrigin,supplierCost,images,imageUrls,sourceRow,declaredValue,packagingWeightKg,packageLengthCm,packageWidthCm,packageHeightCm,estimatedFields,liquid,battery,magnetic,aerosol,flammable,fragile
PL-BTL-001-PNK,Henenoy 保温杯 520ml Pink,PL-BTL-001,Henenoy,Home & Kitchen,保温杯,粉色520ml,Pink,520,316、304不锈钢（内胆316）,true,中国大陆,7.60,IMG-02-1.jpg;IMG-02-2.jpg;IMG-02-3.jpg,https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01pfCixBGwwVK6DDV6_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01qkZh4kCPrjF6Pn32_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i2/2218026620531/O1CN01wp93DhucrQK6PIkG_!!2218026620531.jpg,2,7.60,0.41,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BTL-002-BLU,Henenoy 保温杯 520ml Blue,PL-BTL-001,Henenoy,Home & Kitchen,保温杯,蓝色520ml,Blue,520,316、304不锈钢（内胆316）,false,中国大陆,7.60,IMG-02-2.jpg,https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01qkZh4kCPrjF6Pn32_!!2218026620531.jpg,2,7.60,0.41,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BTL-003-BLK,100% leakproof ET.ELF/外星精灵 咖啡杯 260ml Black,PL-BTL-003,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Black,Black,750,纯钛,false,中国大陆,6.30,IMG-03-1.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BTL-004-SIV,ET.ELF/外星精灵 咖啡杯 260ml Silver,PL-BTL-003,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,Silver,Silver,999,未知材质,false,中国大陆,6.30,,,3,6.30,,8,8,21,supplierCost;declaredValue;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BTL-005-UNK,CMYD Studio 陶瓷马克杯 320ml,PL-BTL-005,CMYD Studio,Home & Kitchen,陶瓷马克杯,苹果平平安安（赠苹果勺）,Unspecified,320,陶瓷,false,,7.50,IMG-04-1.jpg;IMG-04-2.jpg,https://img.alicdn.com/imgextra/i4/2217527082059/O1CN01YEoEi11R54W6koAsm_!!2217527082059.jpg;https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,,,,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BTL-021-UNK,CMYD Studio 陶瓷马克杯 320ml,PL-BTL-005,CMYD Studio,Home & Kitchen,陶瓷马克杯,香蕉蕉财进宝（赠香蕉勺）,Unspecified,320,陶瓷,false,,7.50,IMG-04-2.jpg,https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,,,,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BTL-022-RBW,CMYD Studio 陶瓷马克杯,PL-BTL-005,CMYD Studio,Home & Kitchen,陶瓷马克杯,对杯,Rainbow,320,陶瓷,false,,7.50,IMG-04-2.jpg,https://img.alicdn.com/imgextra/i3/2217527082059/O1CN01GDEcga1R54WAiw04J_!!2217527082059.jpg,4,7.50,0.4,,,,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm;capacityMl,false,false,false,false,false,true
PL-BTL-006-WHT,"DASHA 保温咖啡杯,保温杯,冰霸杯 1200ml White",PL-BTL-006,DASHA,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",白色波点1200ml覆陶316内胆,White,1200,316不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,IMG-05-1.jpg,https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01nMP1Ee1Zvl8k3v1xC_!!2207931153257.jpg,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BTL-007-PUR,"DASHA 保温咖啡杯,保温杯,冰霸杯 1200ml Purple",PL-BTL-006,DASHA,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",芋泥波波1200ml覆陶316内胆,Purple,1200,316不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,,,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BTL-008-PNK,"DASHA 保温咖啡杯,保温杯,冰霸杯 1200ml Pink",PL-BTL-006,DASHA,Home & Kitchen,"保温咖啡杯,保温杯,冰霸杯",桃桃奶芙1200ml覆陶316内胆,Pink,1200,316不锈钢+陶瓷覆层内胆,false,中国大陆,10.50,IMG-05-3.jpg,https://img.alicdn.com/imgextra/i3/2207931153257/O1CN01YptIwK1Zvl8juyCFs_!!2207931153257.jpg,5,10.50,0.7,9,9,28,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BTL-009-UNK,百诣 保温咖啡杯 880ml,PL-BTL-009,百诣,Home & Kitchen,保温咖啡杯,带茶隔,Unspecified,880,内胆316不锈钢+陶瓷覆层；外壳304不锈钢；杯盖/提手PP,true,,7.50,IMG-06-1.jpg;IMG-06-2.jpg,https://img.alicdn.com/imgextra/i4/2201204201609/O1CN01GFmothIBAdE3Cu6K_!!2201204201609.jpg;https://img.alicdn.com/imgextra/i1/2201204201609/O1CN01P4S1v9WEt3I3Ctuo_!!2201204201609.jpg,6,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,true
PL-BAG-010-BLU,手提单肩包 Blue,,,Bags & Accessories,手提单肩包,卡通图案,Blue,0,帆布,,,7.50,IMG-07-1.jpg;IMG-07-2.jpg;IMG-07-3.jpg,https://img.alicdn.com/imgextra/i2/3524631220/O1CN01Z1HBha1KsoICcqszg_!!3524631220.jpg;https://img.alicdn.com/imgextra/i2/3524631220/O1CN01dlT28p1KsoICCd2Ii_!!3524631220.jpg;https://img.alicdn.com/imgextra/i2/3524631220/O1CN01sHVebE1KsoICcslNJ_!!3524631220.jpg,7,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BAG-011-BLK,手提单肩包 Black,,,Bags & Accessories,手提单肩包,纯色,Black,0,涤纶；底垫EVA；肩带纯棉织带,,,7.50,IMG-08-1.jpg;IMG-08-2.jpg,https://img.alicdn.com/imgextra/i1/789448830/O1CN01ZRvFwc2F6COV0ah3U_!!789448830.jpg;https://img.alicdn.com/imgextra/i2/789448830/O1CN01QUFbBT2F6CQDBTp2o_!!789448830.jpg,8,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
PL-BAG-012-OFF,手提单肩包 Off-white,,,Bags & Accessories,手提单肩包,植物花卉印花,Off-white,0,16安帆布,,,7.50,IMG-09-1.jpg;IMG-09-2.jpg,https://img.alicdn.com/imgextra/i4/14503298/O1CN01Dzb8Ig1aEWvdJl28c_!!14503298.jpg;https://img.alicdn.com/imgextra/i1/14503298/O1CN01tE2Srt1aEXLwxrgcJ_!!14503298.jpg,9,7.50,0.4,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm,false,false,false,false,false,false
