﻿sku,productName,model,brand,category,productType,variant,color,capacityMl,material,straw,countryOfOrigin,supplierCost,images,imageUrls,sourceRow,declaredValue,packagingWeightKg,packageLengthCm,packageWidthCm,packageHeightCm,estimatedFields
BW-2000-01,无品牌/无注册商标 保温杯 520ml Pink,BW-2000,无品牌/无注册商标,Home & Kitchen,保温杯,热销款粉色520ml一杯三饮+全316内胆,Pink,520,316不锈钢,true,中国大陆,7.60,IMG-02-01-1.jpg;IMG-02-01-2.jpg;IMG-02-01-3.jpg,https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01pfCixBGwwVK6DDV6_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01qkZh4kCPrjF6Pn32_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i2/2218026620531/O1CN01wp93DhucrQK6PIkG_!!2218026620531.jpg,2,7.60,0.41,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
BW-2000-02,无品牌/无注册商标 保温杯 520ml Blue,BW-2000,无品牌/无注册商标,Home & Kitchen,保温杯,蓝色520ml一,Blue,520,316不锈钢,false,中国大陆,7.60,IMG-02-02-1.jpg;IMG-02-02-2.jpg;IMG-02-02-3.jpg,https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01pfCixBGwwVK6DDV6_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i3/2218026620531/O1CN01qkZh4kCPrjF6Pn32_!!2218026620531.jpg;https://img.alicdn.com/imgextra/i2/2218026620531/O1CN01wp93DhucrQK6PIkG_!!2218026620531.jpg,2,7.60,0.41,8,8,25,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,骑士玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,6.30,IMG-03-01-1.jpg;IMG-03-01-2.jpg;IMG-03-01-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-02,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,自由玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,6.30,,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-03,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,凯瑟王座玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,,IMG-03-03-1.jpg;IMG-03-03-2.jpg;IMG-03-03-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-04,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,祈祷之手玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,,IMG-03-04-1.jpg;IMG-03-04-2.jpg;IMG-03-04-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-05,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,荣耀骑士玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,6.30,IMG-03-05-1.jpg;IMG-03-05-2.jpg;IMG-03-05-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-06,ET.ELF/外星精灵 咖啡杯 260ml Black,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,加冕玄黑色/扭扭杯260ml,Black,260,纯钛,false,中国大陆,6.30,IMG-03-06-1.jpg;IMG-03-06-2.jpg;IMG-03-06-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-07,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,骑士皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-07-1.jpg;IMG-03-07-2.jpg;IMG-03-07-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-08,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,自由皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-08-1.jpg;IMG-03-08-2.jpg;IMG-03-08-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
ET-12-31-09,ET.ELF/外星精灵 咖啡杯 260ml Silver,ET-12-31,ET.ELF/外星精灵,Home & Kitchen,咖啡杯,凯瑟王座皓月银/扭扭杯260ml,Silver,260,纯钛,false,中国大陆,6.30,IMG-03-09-1.jpg;IMG-03-09-2.jpg;IMG-03-09-3.jpg,https://img.alicdn.com/imgextra/i3/2215801369412/O1CN01BCEuOM2JOktTaBsw4_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01p7dvpm2JOktUoyyyS_!!2215801369412.jpg;https://img.alicdn.com/imgextra/i2/2215801369412/O1CN01RqNVRaQ87uD1bS0e_!!2215801369412.jpg,3,6.30,0.28,8,8,21,supplierCost;declaredValue;packagingWeightKg;packageLengthCm;packageWidthCm;packageHeightCm
